رقم الخط,المواقف,السعر
1,"المظلات, السواح, روكسي, كلية البنات, ميدان هشام بركات, عباس العقاد, زهراء مدينة نصر, التجمع الاول",20 جنيه
3,"النزهة الجديدة, شارع النزهة, ابو بكر الصديق, شارع الاهرام, روكسي, الاميرية, ش شبرا, كورنيش, ميدان التحرير, أبو الريش, مساكن زينهم",20 جنيه
4,"الهايكستب, الألف مسكن, روكسي, الخليفة المأمون, العباسية, الضاهر, شارع بورسعيد, قصر العيني, ش المنيل, الروضة, المماليك",20 جنيه
5,"زنين, جامعة القاهرة, الدقي, م سفنكس, التحرير, العباسية, الطيران, طريق النصر, مكرم عبيد, مصطفى النحاس الحي الثامن",20 جنيه
7,"زهراء عين شمس, شارع عين شمس, جامعة عين شمس, العباسية, رمسيس, التحرير, شارع شيخون, صلاح الدين, السيدة عائشة, البساتين",20 جنيه
8,"الاميرية, السواح, روكسي, السيد الميرغني, شارع الاهرام, ميدان الاهرام, ميدان الساعة, الاوتوستراد, طريق مصر السويس, الرحاب",20 جنيه
9,"مدينة السلام سبيكو, موقف السلام, جسر السويس, الالف مسكن, روكسي, الخليفة المأمون, العباسية, ميدان الجيش, العتبة الجراج",20 جنيه
10,"ابراهيم بك, كوبري عرابي, المظلات, ترعة الاسماعيلية, السواح, روكسي, كلية البنات, عباس العقاد, مصطفى النحاس, التجمع الاول",20 جنيه
11,"مساكن شيراتون, عبد الحميد بدوي, م الحجاز, روكسي, الخليفة المأمون, العباسية, رمسيس, احمد حلمي, ش شبرا, المظلات",20 جنيه
12,"مسطرد, ميدان المطرية, ش ابو بكر الصديق, ش الاهرام, روكسي, ش الميرغني, ش الطيران, زهراء مدينة نصر, التجمع الاول",20 جنيه
13,"مساكن عين شمس, ش 6 اكتوبر, جسر السويس, م الحجاز, ش النزهة, عباس العقاد, الطوب الرملي, محور المشير, صبحي حسين, الاسمرات",20 جنيه
14,"التجمع الاول, الميثاق, مصطفى النحاس, هشام بركات, شارع الميرغني, روكسي, ميدان المطرية, ترعة الاسماعيلية, مسطرد, الخصوص",20 جنيه
17,"مؤسسة الزكاة, شارع 27, جسر السويس, المحكمة, الحجاز, روكسي, العباسية, رمسيس, تحرير, مجري العيون, السيدة نفيسة",20 جنيه
18,"مساكن الشروق, كلية البنات, الميرغني, روكسي, ش القبة, المطرية, ك مسطرد, الشارع الجديد, مساكن اسكو",20 جنيه
23,"كفر طهرمس, فيصل, الجيزة, كورنيش النيل, السيدة زينب, شارع بورسعيد, ميدان الجيش, حدائق القبة, شارع سكة الوايلي, قسم الحدائق",20 جنيه
25,"مساكن الشروق, طريق النصر, عباسية, باب الشعرية, العتبة, ش منصور, القلعة",20 جنيه
26,"بيجام 15 مايو, الشارع الجديد, ك مسطرد, م السواح, المطرية, ابو بكر الصديق, شارع النزهة, مساكن الشروق",20 جنيه
28,"بيجام, المظلات, ش شبرا, سكة الوايلي, الخليفة المأمون, الاهرام, تريومف, الحجاز, مساكن شيراتون",20 جنيه
29,"مساكن الحلمية, المطرية, الكابلات, المطرية, حدائق القبة, رمسيس, الزمالك, الدقي, جامعة القاهرة, الجيزة",20 جنيه
30,"زهراء عين شمس, ش عين شمس, العباسية, شارع الجيش, باب الشعرية, ش بورسعيد, السيدة عائشة, صلاح سالم, السيدة نفيسة",20 جنيه
35,"صفط اللبن, زنين, التحرير, احمد ماهر, صلاح الدين, السيدة عائشة, صلاح سالم, عبد الحميد بدوي, شارع 6 اكتوبر, النزهة الجديدة",20 جنيه
37,"كفر طهرمس, فيصل, نفق الملك الصالح, السيدة عائشة, الأوتوستراد, النزهة, شارع الثورة, طريق السويس, مدينة الأمل",20 جنيه
40,"كلية الزراعة, جامعة القاهرة, القصر العيني, تحرير, رمسيس, نادي السكة, اول عباس, النادي الاهلي, طريق السويس, مدينة الأمل",20 جنيه
43,"الكنيسة, ميدان الجيزة, التحرير, ش بورسعيد, احمد ماهر, شارع الجيش, العباسية, الاوتوستراد, مصطفى النحاس, الميثاق, الواحة",20 جنيه
44,"المطبعة, كورنيش النيل, تحرير, رمسيس, عباسية, ميدان روكسي, شارع الحجاز, ميدان الحجاز, النزهة الجديدة (الهايكستب)",20 جنيه
45,"المطبعة, كورنيش, أثر النبي, صلاح سالم, م السيدة عائشة, الاوتوستراد, عباس العقاد, الميثاق, زهراء مدينة نصر, التجمع الاول",20 جنيه
46,"مساكن الشروق, طريق النصر, العباسية, رمسيس, كوبري اكتوبر, جامعة الدول, شارع السودان, الجيزة موتسيان",20 جنيه
47,"دوران شبرا, السواح, روكسي, النزهة, النادي الاهلي, اكاديمية الشرطة, مديرية أمن القاهرة الجديدة (الرحاب)",20 جنيه
48,"عرب المعادي, ش فلسطين, شارع الجزائر, شارع الكردي, السيدة عائشة, باب الشعرية, شارع بورسعيد, الزاوية الحمراء",20 جنيه
49,"زنين, الدقي, تحرير, رمسيس, العباسية, صلاح سالم, الطيران, النادي الاهلي, طريق السويس, مدينة الأمل",20 جنيه
50,"زنين, جامعة القاهرة, تحرير, رمسيس, عباسية, الاوتوستراد, مصطفى النحاس, كوبري الفطيم, اكاديمية الشرطة, الرحاب بوابة 13",20 جنيه
