رقم الخط,المسار,المواقف,التعريفة
2,الجامعة الأمريكية - شارع التسعين - محور المشير - امتداد رمسيس - كوبري الفجري - سكة الوايلي - قسم الحدائق,الجامعة الأمريكية، قسم الحدائق,25
7,العمرانية - الجيزة - كوبري الجامعة - فم الخليج - السيدة زينب - شارع بورسعيد - شارع الأزهر - عتبه (الجراج),العتبة (الجراج),20
/8,نزلة البطران - المريوطية - شارع الهرم - الجيزة - شارع مراد - القصر العيني - عبد المنعم رياض - احمد حلمي,عبد المنعم رياض، أحمد حلمي,20
ط8,مسرة - شارع شبرا - المظلات - سعد سليم - ترعة الاسماعيلية - ش بورسعيد - حدائق القبة - العباسية,مسرة، المظلات، العباسية,20
11,إبراهيم بك 1 - ميدان المطريه - ابو بكر الصديق - ميدان الحلميه - ميدان الجلاء - السبع عمارات - ميدان الساعة,المطرية، ميدان الساعة,20
16,میدان لبنان - أحمد عرابي - شارع النيل - كوبري اكتوبر - شارع رمسيس - شارع شبرا - مظلات - مساكن الوحدة,المظلات,20
20,امبابة - الكيت كات - شارع النيل - شارع السراي - ميدان فم الخليج - شارع مجرى العيون - ميدان السيدة عائشه - الاباجيه,الأباجية,25
24ط,الحي السابع - الخليفة القاهر - جامعة الأزهر - طريق النصر - ميدان الفردوس - ميدان البعوث - الدراسة,الحي السابع، الدراسة,20
/24,إبراهيم بك (1) - كوبري أحمد عرابي - المظلات - شارع شبرا - نفق التعاون - القللي - عبد المنعم رياض ()2,المظلات، عبد المنعم رياض,20
28,ام بيومي - كوبري عرابي - ابو وافية - احمد حلمي - احمد بدوي القللي - عبد المنعم رياض ()2,ابو وافية، أحمد حلمي، عبد المنعم رياض,20
32,المظلات - شارع أحمد حلمى - ميدان المؤسسة بشبرا الخيمة - الطريق الزراعي - مشتهر - مرصفا,المظلات، أحمد حلمي,20
/35,مساكن الحلمية - شارع جسر السويس - ميدان الحجاز - ميدان روكسي - رمسيس - عبد المنعم رياض ()2,مساكن الحلمية، عبد المنعم رياض,20
36ط,زاوية ابو مسلم - ابو النمرس - ميدان المنيب - شارع ربيع الجيزى . ميدان الجيزة - جامعة القاهرة - عبد المنعم رياض (1),عبد المنعم رياض,20
38,مساكن الأميرية - السواح - ابو وافية - احمد حلمى - شارع الجلاء - عبد المنعم رياض ()2,الأميرية، ابو وافية، أحمد حلمي,20
43,المطرية - ترعة الجبل - حدائق القبة - مصر والسودان - عباسية - ميدان الجيش - باب الشعرية - عتبة (الجراج),المطرية، العباسية، العتبة (الجراج),20
65,المماليك - شارع بورسعيد - ميدان باب الشعرية - ميدان الجيش - شارع أحمد سعيد - شارع مصطفى النحاس - الحي الثامن,المماليك، الحي الثامن,20
69,التجمع الأول - الحي الثامن - جامعة الازهر - طريق النصر - العباسية - ميدان رمسيس - شارع نجيب الريحاني - عتبة (الجنينة),التجمع الأول، الحي الثامن، العباسية، العتبة (الجنينة),20
//69,الحي الثامن - جامعة الازهر - طريق النصر - العباسية - ميدان رمسيس شارع نجيب الريحاني - عتبة (الجنينة),الحي الثامن، العباسية، العتبة (الجنينة),20
77,المظلات - شارع شبرا - العتبة - أحمد ماهر - القلعة - السيدة عائشة - الامام الشافعي - البساتين,المظلات، البساتين,20
/80,الطوب الرملي - شارع مصطفى النحاس - جامعة الازهر - طريق النصر - مدينة البعوث - الدراسة,الطوب الرملي، الدراسة,20
86,وراق العرب - شارع الوحدة - شارع النيل - الكيت كات - العجوزة قصر العيني - فم الخليج - السيدة عائشة - الأباجية,الأباجية,20
96,أثر النبى - شارع كورنيش النيل - شارع المنيل - شارع جامعة القاهرة - ميدان الدقي - شارع السودان - بولاق الدكرور,أثر النبي,20
106,المنيب - شارع ربيع الجيزى - ميدان الجيزة - جامعة القاهرة - شارع قصر العيني - تحرير - عتبة (الجراج),العتبة (الجراج),20
111,جزيرة محمد - وراق الحضر - كيت كات - بولاق الدكرور - جامعة القاهرة - فم الخليج - الأباجية,الأباجية,20
121,البدرشين - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة - جامعة القاهرة,-,20
123,أم خنان - طريق القاهرة / الصعيد - المنيب - جامعة القاهرة - القصر العينى - تحرير - عبد المنعم رياض (1),عبد المنعم رياض,20
125,العياط - مزغونة - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة,-,20
/125,العياط - مزغونة - طريق الصعيد - المنيب - شارع ربيع الجيزى - ميدان الجيزة,-,20
132,التجمع الأول - زهراء مدينة نصر - شارع الطيران - شارع صلاح سالم - عباسية - رمسيس - عبد المنعم رياض ()2,التجمع الأول، العباسية، عبد المنعم رياض,20
154,البساتين - شارع الكردى - السيدة عائشة - القلعة - السيدة زينب - تحرير - عبد المنعم رياض (1),البساتين، عبد المنعم رياض,20
158,قليوب المحطة - كوم اشفين - طريق بلقس - ترعة الاسماعيلية - شارع سعد سليم - شارع شبرا - العتبة (الجنينة),العتبة (الجنينة),20
/160,صقر قريش - البساتين - السيدة عائشة - السيدة زينب - أحمد ماهر - حسن الأكبر - عبد المنعم رياض (1),صقر قريش، البساتين، عبد المنعم رياض,20
167,زنين - بين السرايات - جامعة القاهرة - قصر العيني - ميدان السيدة زينب - شارع الجيش - الدراسة,الدراسة,20
186,الدراسة - العتبة - التحرير - كوبري الجلاء - شارع التحرير - الدقي - شارع السودان - بولاق الدكرور,الدراسة,20
201,اوسيم - بشتيل - شارع السودان - شارع النيل - شارع نهضة مصر - شارع جامعة القاهرة - ميدان الجيزة,-,20
203,أم بيومي - كوبري عرابي - المظلات - شارع شبرا - ميدان التحرير - الدقي - شارع السودان - بولاق الدكرور,المظلات,20
211,قليوب البلد - مصر / إسكندرية الزراعي - ميدان المؤسسة - شارع كورنيش النيل - عبد المنعم رياض ()1,عبد المنعم رياض,20
212,القناطر الخيرية - مصر / الاسكندرية الزراعي - كورنيش النيل - القللي - شارع نجيب الريحاني - عتبة (الجنينة),العتبة (الجنينة),20
216,"طنان - طريق منيا القمح - القاهرة اسكندرية ""الزراعي"" - ميدان المؤسسة - كوبري المظلات - شارع شبرا - عتبة (الجنينة)",المظلات، العتبة (الجنينة),20
/216,السد - طنان الزهويين - طريق شبين القناطر / قليوب - القاهرة / اسكندريه الزراعى - كوبري المظلات - شارع شبرا - عتبة (الجنينة),المظلات، العتبة (الجنينة),20
222,وردان - منشأة القناطر - الوراق - شارع النيل - المطابع الأميرية - امبابة,الأميرية,20
235,السيدة نفيسة - القلعة - باب الخلق - تحرير - شارع الترعة البولاقية شارع شبرا - 15 مايو - شرق شبرا الخيمة,السيدة نفيسة,20
290,مساكن الأميرية - المسلة - مسطرد - شارع ترعة الإسماعيلية - شارع سعد سليم - شارع شبرا - احمد حلمي,الأميرية، أحمد حلمي,20
306,مساكن الاميرية - السواح - باب الشعرية - السيدة زينب - مجرى العيون - كوبري الجامعة - شارع جامعة القاهرة - ميدان الجيزة,الأميرية,20
318,مساكن عين شمس - شارع 6 أكتوبر - شارع عبد الحميد بدوي - طريق المطار - مطار القاهرة,مساكن عين شمس، مطار القاهرة,20
354,النزهة الجديدة - الألف مسكن - ميدان الحجاز - السبع عمارات - طريق القاهرة السويس - الجامعة الأمريكية,النزهة الجديدة، الجامعة الأمريكية,25
356,مطار القاهرة - عبد الحميد بدوي - الحجاز - الأهرام - روكسي - عباسية - رمسيس - عبد المنعم رياض (2),مطار القاهرة، العباسية، عبد المنعم رياض,25
366,مطار القاهرة - ش 6 أكتوبر - عين شمس - المسلة - السواح - شارع سعد سليم - شارع شبرا - أحمد حلمي,مطار القاهرة، عين شمس، أحمد حلمي,20
400,مطار القاهرة - طريق المطار - سفير - عثمان بن عفان - روكسي عباسية - عبد المنعم رياض ()2,مطار القاهرة، العباسية، عبد المنعم رياض,20
407,مساكن الاسمرات - مساكن ال 70 فدان - الطريق الدائري - السيدة عائشة - شارع بورسعيد - أحمد ماهر - احمد حلمي,الأسمرات، أحمد حلمي,20
430,المطبعة - كورنيش النيل - فم الخليج - السيدة زينب - شارع بورسعيد - باب الشعرية - العباسية - الأميرية,المطبعة، العباسية، الأميرية,20
555,المنيب - ميدان الجيزة - فم الخليج - السيدة عائشة - الأوتوستراد - جامعة الازهر - كلية البنات الاسلامية,كلية البنات الاسلامية,20
573,المنيب - شارع ربيع الجيزى - الطريق الدائرى - كارفور - شارع التسعين - ميدان فاطمة الشربتلي - الألف مصنع بالقاهرة الجديدة,الألف مصنع,20
579,العباسية - امتداد رمسيس - جامعة الأزهر - زهراء مدينة نصر - شارع التسعين - الألف مصنع بالقاهرة الجديدة,العباسية، الألف مصنع,20
582,مساكن الأسمرات بالمقطم - محور الشهيد - شارع عبد الله العربي - الأوتوستراد - شارع أحمد سعيد - باب الشعرية - العتبة (الجراج),الأسمرات، المقطم، العتبة (الجراج),20
724,الخصوص - مسطرد - المظلات - شارع شبرا - شارع الجلاء - عبد المنعم رياض ()2,المظلات، عبد المنعم رياض,20
812,العمرانية - ربيع الجيزي - الجيزة - الدقى - رمسيس - أحمد سعيد - مصر والسودان - قسم الحدائق,قسم الحدائق,20
814,بولاق الدكرور - شارع السودان - الدقى - التحرير - المنيل - نفق الملك الصالح - القلعة,-,20
815,الدراسة - البعوث - احمد ماهر - تحرير - الدقى - نادى الصيد - شهاب - شارع السودان - بشتيل,الدراسة,20
820,العمرانية - ميدان الجيزة - قصر العيني - التحرير - رمسيس - احمد حلمي - المظلات 15- مايو - ابراهيم بك 1,أحمد حلمي، المظلات,20
824,ابو وافية - احمد حلمى - عتبة - السيدة عائشة - الامام الشافعي - المجزر الآلى - مساكن بيتشو,ابو وافية، أحمد حلمي، مساكن بيتشو,20
831,الزاوية الحمراء - شارع بورسعيد - ميدان باب الشعرية - عتبة - ابو الريش - حدائق زينهم,الزاوية الحمراء، حدائق زينهم,20
833,أم بيومي - طريق بيجام - المظلات - شارع شبرا - شارع رمسيس - ميدان التحرير - شارع قصر العيني - جيزة موتسيان,المظلات,20
888,المنيب - ميدان الجيزة - القصر العيني - التحرير - شارع رمسيس - احمد حلمی,أحمد حلمي,20
912,ميدان الجيزة - كورنيش النيل - فم الخليج - السيدة عائشة - الأوتوستراد الحي السادس - الحي العاشر - التجمع الأول,التجمع الأول,20
917,قليوب البلد - مصر / إسكندرية الزراعي - ميدان المؤسسة - شارع مجلس المدينة - شارع كورنيش النيل - شارع شبرا - عتبة (الجنينة),العتبة (الجنينة),20
918,شبين القناطر - مصر / إسكندرية الزراعي - شبرا الخيمة - شارع عرابي - عتبة (الجنينة),العتبة (الجنينة),20
922,صقر قريش - البساتين - القلعة - شارع بورسعيد - شارع الجيش - شارع العباسية - عباسية,صقر قريش، البساتين، العباسية,20
923,طوخ - طريق الاسكندرية الزراعي - ميدان المؤسسة - شارع أحمد حلمي - احمد حلمي,أحمد حلمي,20
923,مساكن بيتشو - الاباجية - صلاح سالم - السيدة عائشة - مجرى العيون - فم الخليج - جامعة القاهرة - ميدان الجيزة - المنيب,مساكن بيتشو، الأباجية,20
925,روض الفرج - شارع شبرا - السواح - المطرية - شارع جسر السويس أكتوبر 6 - مطار القاهرة,روض الفرج، المطرية، مطار القاهرة,20
927,شرق شبرا الخيمة - مسطرد - المطرية - التجنيد - سفير - السبع عمارات - ألماظة - الهجانة - مساكن ألماظة,المطرية، مساكن الماظة,20
931,الزاوية الحمراء - شارع بورسعيد - السيدة زينب - فم الخليج - جامعة القاهرة - ميدان الجيزة - المنيب,الزاوية الحمراء,20
936,القلج - طريق القلج / المرج - موقف المرج - الطريق الدائري - جسر السويس - مطار القاهرة,مطار القاهرة,20
953,القناطر الخيرية - طريق أبو الغيط - طريق مصر اسكندرية الزراعي المؤسسة -كورنيش النيل - عبد المنعم رياض (1),عبد المنعم رياض,20
955,الهايكستب - جسر السويس - الحجاز - النزهة - روكسي - عباسية - رمسيس - عبد المنعم رياض ()2,الهايكستب، العباسية، عبد المنعم رياض,20
967,ابراهيم بك (1) كوبري عرابي - عبود - المظلات - شارع شبرا - احمد حلمى - نجيب الريحاني - عتبة (الجنينة),المظلات، أحمد حلمي، العتبة (الجنينة),20
969,الطوب الرملي - مصطفى النحاس - جامعة الأزهر - طريق النصر - امتداد رمسيس - عبد المنعم رياض ()2,الطوب الرملي، عبد المنعم رياض,20
982,الحوامدية - كوبري الحوامدية - طريق القاهرة الصعيد - المنيب - ربيع الجيزي - جامعة القاهرة,-,20
988,البدرشين - المنيب - جامعة القاهرة - تحرير - شارع رمسيس - احمد حلمی,أحمد حلمي,20
